booth_no,forms_received,location,area_covered,booth_level_officer,pdf_file_name
86,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL, VILLAGE KHUDDA ALISHER , (Room No. 4), VILLAGE KHUDA ALISHER",VILLAGE KHUDA ALISHER # 191 to 390,MANINDER SINGH  C.C.E.T DEGREE WING SECTOR 26,chandigarh_pdfs/w0010086.pdf
87,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL, VILLAGE KHUDDA ALISHER , (Room No. 7), VILLAGE KHUDA ALISHER","VILALGE KHUDA ALISHER # 391 to 986, VILLAGE KHUDA ALISER BHAWANI MATA MANDIR, VILLAGE KHUDA ALISER AMRIT KUNJ BHAWANI MATA MANDIR, VILLAGE KHUDA ALISHER SHOP NO. 2, VILALGE KHUDA ALISHER ASHOK BUDHA VIHAR, VILALGE KHUDA ALISHER COMMUNITY CENTRE, VILLAGE KHUDA ALISHER FOREST GATE, VILLAGE KHUDA ALISHER WALIA FARM HOUSE, VILLAGE KHUDA ALISHER TUBWELL NO. 5, VILLAGE KHUDA ALISHER GOVERNMENT HOUSE, VILLAGE KHUDA ALISHER MADHO COLONY, VILALGE KHUDA ALISHER GURUDWARA GURU KA BAG, VILLAGE KHUDA ALISHER KUNDEN POLTERY FARM, VILLAGE KHUDA ALISHER AMAR FARM, VILLAGE KHUDA ALISER PUNIT SAHOTA FARM HOUSE, VILLAGE KHUDA ALISHER BANGU FARM, VILLAGE KHUDA ALISER MARVAHA FARMVILLAGE KHUDA ALISHER FARM HOUSE NO. 2, VILLAGE KHUDA ALISER SATVIR SINGH BAJWA FARM","MEENAKSHI  DOLL MUSEUM SECTOR 23-B, CHD",chandigarh_pdfs/w0010087.pdf
88,Form 6  Form 7  Form 8  Form 8A,"PUNJAB MLA HOSTEL, CANTEEN HALL , SECTOR-3 , (Room No. 6), SECTOR 3","SECTOR 1 HIGH COURT, SECTOR 2 # 1 to 91, SECTOR 3 # 1 to 32, SECTOR 4 # 1 to 60, SECTOR 5 # 1 to 80, MOTER GARAGE SECTOR 3 # 1 to 14, MOTER GARAGE SEC.4 # 25 to 40, HARYANA MLA FLATS SEC.3 # 1 to 32, HARYANA MLA HOSTEL SEC.3, PUNJAB MLA HOSTEL SEC.4, PUNJAB MLA FLAT SECTOR 4 # 33 to 48, SERVENR QUARTER SEC.3 # 13 to 24, SERVENR QUARTER SEC.4 # 25 to 40, UT GUEST HOUSE SEC.6, CGA GOLF CLUB SEC.6, GURUDWARA SECTOR-5,",DAMODAR DASS  GOVT. MSS SCHOOL SECTOR 22,chandigarh_pdfs/w0010088.pdf
89,Form 6  Form 7  Form 8  Form 8A,"GOVT. NURSERY SCHOOL BUILDING NO.32 , SECTOR 7 , (Room No. 1), SECTOR 7",SECTOR 7A # 1 to 500,SANDEEEP KUMAR  P.G. GOVT.COLLEGE SECTOR 11,chandigarh_pdfs/w0010089.pdf
90,Form 6  Form 7  Form 8  Form 8A,"SPORTS COMPLEX (GOVT. ATHLETIC CLUB) , SECTOR 7 , (Room No. 1 ), SECTOR 7","SECTOR 7B # 501 to 850, SP0RTS COMPLEX SECTOR 7, NEW CRECH SECTOR 7, C.L. AGGARWAL DAV MODEL SCHOOL SEC.7B, ARYA SAMAJ MANDIR SECTOR 7",IQBAL SINGH  PEC UNIVERSITY OF TECHNOLOGY SECTOR 12,chandigarh_pdfs/w0010090.pdf
91,Form 6  Form 7  Form 8  Form 8A,"SPORTS COMPLEX (GOVT. ATHLETIC CLUB) , SECTOR 7 , (Hall No. 2), SECTOR 7","SECTOR 7B # 851 to 1245, CPWD QUARTERS SECTOR 7",SEEMA  GMHS SEC-12,chandigarh_pdfs/w0010091.pdf
92,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 7C , (Room No. 9 B ), SECTOR 7C","SECTOR 7 C # 1501 to 1660, SCF SECTOR 7, GOVT. HIGH SCHOOL SEC.7, VERKA BOOTH, APARVASI BHARTIYA SEC.7",RAVI KUMAR  POST GRADUATE COLLEGE SECTOR 11 CHD,chandigarh_pdfs/w0010092.pdf
93,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 7C , (Room No. class 1), SECTOR 7C","SECTOR 7C # 1661 to 1982, SCO SECTOR 7, SANATAN DHARAM MANDIR SEC.7, APARVASI BHARTIYA",BHIM SINGH  GOVT.MODEL SR. SEC. SCHOOL SECTOR 15C,chandigarh_pdfs/w0010093.pdf
94,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL SENIOR SECONDARY SCHOOL, SECTOR 8A , (Room No. 2 ), SECTOR 8A","SECTOR 8A # 1 to 172, SECTOR 8B # 501 to 570",JASBIR SINGH  CHIEF ARCHITECT SEC-9,chandigarh_pdfs/w0010094.pdf
95,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL SENIOR SECONDARY SCHOOL, SECTOR 8A , (Room No.3 ), SECTOR 8B","SECTOR 8B # 571 to 768, SCF SEC.8B, DOCTOR RESIDENT, CIVIL DISPENSARY, GOVT MODEL SR. SEC. SCHOOL SEC.8, BOOTHS SECTOR 8B",SARWAN KUMAR  GMSSS SECTOR 19,chandigarh_pdfs/w0010095.pdf
96,Form 6  Form 7  Form 8  Form 8A,"DAV SENIOR SECONDARY SCHOOL, SECTOR 8C , (Room No. 43 (staff) ), SECTOR 8C","SECTOR 8C # 1005 to 1283, GURUDWARA SEC.8C, SHIV MANDIR SEC.8, DAV SCHOOL SEC.8C,","SATISH KUMAR  GMSSS, SECTOR 15-C CHD",chandigarh_pdfs/w0010096.pdf
97,Form 6  Form 7  Form 8  Form 8A,"MOUNT CARMEL CONVENT SCHOOL, SECTOR 9 , (Room No. LKG), SECTOR 9","SECTOR 9A # 1 to 105, SECTOR 9B # 106 to 220, CARNEL CONVENT SCHOOL SEC.9B,",MUKESH KUMAR KAUSHIK  MC PH SEC-17,chandigarh_pdfs/w0010097.pdf
98,Form 6  Form 7  Form 8  Form 8A,"MOUNT CARMEL CONVENT SCHOOL, SECTOR 9 , (Room No. 2), SECTOR 9","SECTOR 9B # 221 to 268, SECTOR 9C # 301 to 360, SCF SECTOR 9D # 1 to 26, BOOTH SECTOR 9D # 1 to 48, REHRI MARKET BOOTH SECTOR 9 # 1 to 32, POST OFFICE SEC.9","VIJAY KUMAR  PGGCG SEC-11, CHD",chandigarh_pdfs/w0010098.pdf
99,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 10 A , (Room No. 3), SECTOR 10A","SECTOR 10A # 1 to 133, RIKSHAW STAND SEC.10A, GOVT. MODEL SR. SEC. SCHOOL SEC.10A, SHIV MANDIR SEC.10, SECTOR 10B # 256 to 305, HOTAL MOUNTAIN VIEW","SUSHIL LATA  GMSSS, SECTOR 23 CHD",chandigarh_pdfs/w0010099.pdf
100,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 10 A , (Room No. 4), SECTOR 10A","SECTOR 10C # 501 to 606, SECTOR 10D, DAV COLLEGE SEC.10, SCF SEC.10, RIKSHAW STAND SEC.10, GOVT HOME SCIENCE HOSTEL CAMPUS SEC.10, SERVENT QUARTER SEC.10, TENIS STADIUM SEC.10, CENTRAL POLLTECHNICAL COLLEGER FOR WOMEN SEC.10,",GAGANDEEP SINGH  GOVT COLLEGE SEC-11,chandigarh_pdfs/w0010100.pdf
101,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 11 A , (Room No. 8), SECTOR 11A","Sector 11 A H.No.1 to 500 ; Sector 11 B H.No.501 to 560 ; Govt. High School,SECTOR 11 ; Gurudawara, SECTOR 11 ; Police Station, SECTOR 11.",K.P.SINGH  G.S.S.SCHOOL SECTOR 38,chandigarh_pdfs/w0010101.pdf
102,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 11 A , (Room No. 4), SECTOR 11A","Sector 11B H.No. 561 to 1000 , Sector 11 C, H.No. 1001 to 1500, Sector 11D, H.No. 1501 to 1537 , SCF H.No 1 to 37, Sector - 11, GCG H.No. 2 to 9, Sec 11-C, GCM H.No. 3 to 7,Sec 11-D, Police Quarters H. No. 1 to 162, Sector - 11, Fire Station H.No. 2 to 4A, .YMCA, Sanatam Dharam Mandir, Govt Central Institute, Food Drug Lab, Civil Dispencary, SCO SECTOR 11, BOOTH SECTOR 11, YWCA HOSTEL SECTOR 11, ARCITECTURE GIRLS HOSTEL SECTOR 11","JARNAIL SINGH  G.S.S.SCHOOL, SECTOR 38",chandigarh_pdfs/w0010102.pdf
103,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL, SECTOR 12 , (Room No. 1), SECTOR 12","Sector 12 T 1, T 2, T 3, T 4, T 8H, T 11H, T 12H, T 12 JC, TyB2, T II J C, Gurudwara Sahib,Sector 12 ; Govt. Model High School,Sector 12 ; Rotary Sarai,Sector 12 ; Balmiki Mandir,Sector 12 ; Hans Raj Dharamshala, Sector 12.","AJAY KUMAR  GHS SEC-47 A, CHD",chandigarh_pdfs/w0010103.pdf
104,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL, SECTOR 12 , (Room No. 2), SECTOR 12","Sector 12 T 13D, T 13J,T 13JE, T 13 JEF, T 14 JEF,Teachers Flat, Navidattea Hostel, T B1,T 13 J C, HSQ, T C, Old Doctor Hostel, Guest House, Jiwan Joyti cherch, NFH, Upper Cafetaria, Radhakrishana Mandir , Shri Guru Ravidas Bhawan, Married Doctor Hostel, Working Women Hostel, Sanjeevan Hostel, Swimming Pool Shri Hari Mandir, HansRaj Dharamshala, Warden House Working Women",NARINDERPAL SINGH  C.H.B SECTOR 9,chandigarh_pdfs/w0010104.pdf
105,Form 6  Form 7  Form 8  Form 8A,"COMMUNITY CENTRE, PUNJAB ENGGINEERING COLLEGE, SECTOR 12 , (Room No. 1), SECTOR 12","Sector 12 PEC, EWS, Neelgiri Apartment, Vindhya Barack, Kurukshetra Barack, Arwali Barack, Himalaya Barack, Faculty guest house, Shivalik Barack, Maintenance Booth, Tubewell, Barrack No. 5",RAJINDER KUMAR  PRINTING & STATIONERY DEPT. SECTOR 18,chandigarh_pdfs/w0010105.pdf
106,Form 6  Form 7  Form 8  Form 8A,"ANKUR NURSERY SCHOOL, SECTOR 14 , (Room No. 2), SECTOR 14","Sector 14 Teachers Flat No. 5 to 38 ; Blk W H.No. 4 to 223/3A ; New Teachers Flat No. 4 to 7 ; Dhobi Ghat H.No. A1 to 12 ; Blk A H.No. A 121 to 223/3 ; Bhart Scouts & Guide H.No. 1 to 8 ; W Servent Qtr Near Hostel No. 6 H.No. 6 to 35 ; Blk W Servent Qtr Hostel No7 , Servents Quarters, Guest House, Tubewell, Servant Quarters Guest house",VINOD KUMAR  GCG SEC-42,chandigarh_pdfs/w0010106.pdf
107,Form 6  Form 7  Form 8  Form 8A,"ANKUR NURSERY SCHOOL, SECTOR 14 , (Room No. 3), SECTOR 14","Sector 14 Block B ,Block D,Block E1",SUMIT KUMAR  GCM-11,chandigarh_pdfs/w0010107.pdf
108,Form 6  Form 7  Form 8  Form 8A,"ANKUR NURSERY SCHOOL, SECTOR 14 , (Room No. 1), SECTOR 14","Sector 14 Blk C , Block E Block F,Block G,Block H, SCF Sector 14","MANOJ KUMAR  C.C.E.T.(DIPLOMA WING), 26",chandigarh_pdfs/w0010108.pdf
109,Form 6  Form 7  Form 8  Form 8A,"D.A. V. MODEL SR.SECONDARY SCHOOL, SECTOR 15 , (Room No. 3 ), SECTOR 15",SECTOR 15A # 1 to 300,U.K.SINGH  C.H.B. SECTOR 9,chandigarh_pdfs/w0010109.pdf
110,Form 6  Form 7  Form 8  Form 8A,"D.A. V. MODEL SR.SECONDARY SCHOOL, SECTOR 15 , (Room No. 2), SECTOR 15","SECTOR 15A # 301 to 669, SECTOR 15B # 1003 to 1090, INTERNATIONAL HOSTEL SECTOR 15, RAMKRISHAN MISSION ASHRAM SECTOR 15B","MAAN SINGH  G.M.S.S.SCHOOL, SECTOR 56",chandigarh_pdfs/w0010110.pdf
111,Form 6  Form 7  Form 8  Form 8A,"D.A. V. MODEL SR.SECONDARY SCHOOL, SECTOR 15 , (Room No. 3), SECTOR 15","SECTOR 15B # 1091 to 2000, LAJPAT RAI BHAWAN SECTOR 15, PANJAB CONGRESS BHAWAN SECTOR 15, GURU GOVIND SINGH BHAWAN SECTOR 15, DAV MODEL SCHOOL SECTOR 15, RED CROSS BHAWAN SECTOR 15, POST GREADUATE GOVT. BOYS GENERAL HOSPITAL SECTOR 15, WARDEN HOUSE SECTOR 15",JOGINDER SINGH  C.H.B. SECTOR 9,chandigarh_pdfs/w0010111.pdf
112,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL, SECTOR 15C , (Room No. 3 ), SECTOR 15C","SECTOR 15C # 2001 to 3000, SCF SECTOR 15C, BAL NIKETEN SECTOR 15C, GURUDWARA SAHIB SECTOR 15C, GOVT. SR. SEC. SCHOOL SECTOR 15C, CRECHE GOVT. SR. SEC. SCHOOL SECTOR 15C",KULDEEP KUMAR  PUBLIC HEALTH DIV. 1 SECTOR 9,chandigarh_pdfs/w0010112.pdf
113,Form 6  Form 7  Form 8  Form 8A,"BAL NIKETAN SOCIETY, SECTOR 15C , (Room No. 3), SECTOR 15C","SECTOR 15D # 3001 to 3315, VRIDH ASHRAM SECTOR 15D, MC STORE SECTOR 15D",RAKESH KUMAR  PRINTING & STATIONERY DEPT. SECTOR 18,chandigarh_pdfs/w0010113.pdf
114,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL, SECTOR 15C , (Room No. 1), SECTOR 15C","SECTOR 15D # 3316 to 3558, SCF SECTOR 15D, REHDI MARKET SECTOR 15D, DHOBI GHAT NO.2 SECTOR 15D, SANATAN DHARAM MANDIR SECTOR 15D, SANT NIRANKARI BHAWAN SECTOR 15D, SHRI RAM SHARNAM MANDIR SECTOR 15D, BOOTH SECTOR 15D",RAJ KUMAR  M.C.P.H. DIV. NO. 2 SECTOR 11,chandigarh_pdfs/w0010114.pdf
115,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 11 C), SECTOR 16C","SECTOR 16 # 1 to 500, RBI SECTOR 17 , MEHFIL HOTEL SEC.17, POLICE STATION SEC.17, SCO SECTOR 17, INTER STATE BUS TERMINAL SEC.17, ANAND COMPLEX SEC.17, POLICE COLONY SEC.17 # 1 to 62, CHANDIGARH DISTRICT COURT SEC.17, FIRE STATION SEC.17, PETROL PUMP SEC.17, NEELAM CINEMA SEC.17, R.B.I SECTOR 17",NANDAN SINGH  GMSS SECTOR 20,chandigarh_pdfs/w0010115.pdf
116,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 8 A), SECTOR 16C","SECTOR 16 # 501 TO END, GENERAL HOSPITAL SEC.16 # 1 to 9, GENERAL HOSPITAL DOCTOR COMPLEX SEC.16 # 6 to 13, GENERAL HOSPITAL RED CROSS SEC.16 # 4,GENERAL HOSPITAL NARSING HOSTEL SEC-16 # 1-8,GENERAL HOSPITAL NARSING HOSTEL SEC-16 # 1-8,SCF SEC-16 # 21-36,SANATAN DHARAM MANDIR SEC-16, ARYA SAMAJ MANDIR SEC-16, GOVT. ADARSH VIDHALAYA SEC-16, GOVT SR SEC SCHOOL SEC-16, UT, PUNJAB AND HARYANA RED CROSS SEC-16 # 2-7, GANDI SMARAK BHAWAN SEC-16, SARAY BUILDING SEC-16 # 2-649, SCF SEC-16D",HARMAN WALIA  MCC,chandigarh_pdfs/w0010116.pdf
117,Form 6  Form 7  Form 8  Form 8A,"GOVT. GIRLS SENIOR SECONDARY SCHOOL , (Room No.1), SECTOR 18","SECTOR 18A # 1TO 300, TAGORE THEATRE , NEW PUBLIC SCHOOL SECTOR 18A, MESNES HALL SECTOR 18, SECTOR 18A # 1TO 300, SECTOR 18B # 501 TO 540",PARAM JIT SINGH  E.S.I.C. SECTOR 19A,chandigarh_pdfs/w0010117.pdf
118,Form 6  Form 7  Form 8  Form 8A,"GOVT. GIRLS SENIOR SECONDARY SCHOOL , (Room No. 3), SECTOR 18","SECTOR 18B# 541 TO 624, SECTOR 18C # 1001 TO 1170, GOVT MODEL S S S SECTOR 18, CRECH BUILDING SECTOR 18, SCF SECTOR 18C 1TO32",MADHU YADAV  G.M.H. SCHOOL SECTOR 11,chandigarh_pdfs/w0010118.pdf
119,Form 6  Form 7  Form 8  Form 8A,"GOVT. GIRLS SENIOR SECONDARY SCHOOL , (Room No. 5), SECTOR 18","BOOTH SECTOR 18, SECTOR 18C # 1171 TO 1337, SECTOR 18D # 1501 to 1640, ARYA SAMAJ MANDIR SECTOR 18, RADHA KRIDHAN MANDIR SEC.18, SCF SECTOR 18D 17 to 46, LIONS CLUB SECTOR 18",AMIT KUMAR  GSSS SECTOR 38 WEST,chandigarh_pdfs/w0010119.pdf
120,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Staff Room), SECTOR 19D","SECTOR 19A # 1 to 250, SECTOR 19B # 1001 to 1020, PRACHIN SHIV MANDIR SECTOR 19, PLOT NO. SECTOR 19, INSTITUTE OF INGINIRING SEC.19, BRAHAM RISHI YOG TRAINING SEC.19, KATHOLIC CHURCH SEC.19A, PANCHMUKHI HANUMAN MANDIR SEC.19, CIVIL DISPENSARY SEC.19, APARVASI BHARTIYA SEC.19A, GOSWAMI GANESH DUTT BHAWAN SECTOR 19A, SECTOR 19B # 1001 to 1020, SECTOR 19A # 1 to 250",GURINDER SINGH  GMSSS Sec-21,chandigarh_pdfs/w0010120.pdf
121,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 1 A), SECTOR 19","SECTOR 19B # 1021 to 1415, GOVT MODEL SSS SEC.19, SECTOR 19B # 1021 to 1415, ARYA SAMAJ MANDIR SEC.19, RIKSHA STAND SEC.19, VRIDHA ASHRAM SEC.19, SADAR BAZAR SEC.19",ANTHONY  GOVT PRESS SECTOR 18 CHD,chandigarh_pdfs/w0010121.pdf
122,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 152), SECTOR 19C","SECTOR 19C # 2001 to 2340, SCF SECTOR 19C 1 to 36",ASHOK KUMAR SHARMA  PEC UNI. OF TECH. SECTOR 12,chandigarh_pdfs/w0010122.pdf
123,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 108 Staff Room), SECTOR 19C","SECTOR 19C 2341 to 2666, SECTOR 19D 3001 to 3100, KOSHLENDER SITARAM MANDIR SEC to 19, GURU GORAKHNATH MANDIR SEC.19, MAHARASHTRA BHAWAN SEC.19, SECTOR 19D 3001 to 3100",SUMAN LATA  GMSSS Sec-21,chandigarh_pdfs/w0010123.pdf
124,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 2 A), SECTOR 19","GURUDWARA SHRI SINGH SABHA SEC.19, SCF SECTOR 19D, SCO SEC.19D, SECTOR 19D # 3101 to 3400, GOVT MODEL HIGH SCHOOL, NEW KRECH",DALBARA SINGH  PEC SECTOR 12,chandigarh_pdfs/w0010124.pdf
125,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 15), SECTOR 20D","SECTOR 20A # 1 to 210, BAL BHAWAN NEW KRENCH SEC.20D, SECTOR 20A # 1 to 210, DISPENSARY SECTOR 20D, COMMUNITY CENTRE SECTOR 20D",JASPAL SINGH  EXECUTIVE ENGINEER SECTOR 9,chandigarh_pdfs/w0010125.pdf
126,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 17), SECTOR 20D",SECTOR 20A # 211 to 410,ANITA RANI  GMSH Sec-29,chandigarh_pdfs/w0010126.pdf
127,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL GIRL SENIOR SECONDARY SCHOOL , (Room No. 7), SECTOR 20B",SECTOR 20A # 411 to 600,MANDEEP  HOME SCIENCE COLLEGE SEC-10,chandigarh_pdfs/w0010127.pdf
128,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL GIRL SENIOR SECONDARY SCHOOL , (Room No. Mid Day Meal), SECTOR 20B","SECTOR 20A # 601 to 713, TYPE 1 SECTOR 20A # 804 to 989, JAMA MASJID SECTOR 20A",AJAY TIWARI  GMHS Sec-20,chandigarh_pdfs/w0010128.pdf
129,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL GIRL SENIOR SECONDARY SCHOOL , (Staff Room 1), SECTOR 20B","SECTOR 20B # 1001 to 1160, POLICE QUARTER SECTOR 20A, SECTOR 20B # 1001 to 1160",CHHEDI RAM  GOVT.PRESS SECTOR 18,chandigarh_pdfs/w0010129.pdf
130,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL GIRL SENIOR SECONDARY SCHOOL , (Staff Room 2), SECTOR 20B","SECTOR 20B # 1161 to 1380, GOVT GIRLS SSS SECTOR 20B, SECTOR 20B # 1161 to 1380, GOVT GIRLS SSS SECTOR 20B",ANITA DEVI  GMSSS SEC-10,chandigarh_pdfs/w0010130.pdf
131,Form 6  Form 7  Form 8  Form 8A,"GOVT COLLEGE OF EDUCATION (B.ED COLLEGE) , (Room No. 6), SECTOR 20D","GUGA MADI MANDIR SECTOR 20A, SECTOR 20B # 1381 to 1580, SECTOR 20C # 2001 to 2060, SCF SECTOR 20C 1 to 48, SHRI CHITRIYA GUDIA MATH MANDIR SEC 20, SCF SECTOR 20C 1 to 48, BOOTH NO.PALACE BAZAR SECTOR 20C",CHARANJIT SINGH  GOVT. MUSEUM ART GALLARY SECTOR 10,chandigarh_pdfs/w0010131.pdf
132,Form 6  Form 7  Form 8  Form 8A,"GOVT COLLEGE OF EDUCATION (B.ED COLLEGE) , (Room No. 8), SECTOR 20D","SECTOR 20C # 2061 to 2380, MANDIR SECTOR 20C, LUXMI NARAYAN MANDIR SECTOR 20",MADANLAL JASWAL  PTG.& STATIONERY DEPTT SECTOR 18,chandigarh_pdfs/w0010132.pdf
133,Form 6  Form 7  Form 8  Form 8A,"GOVT COLLEGE OF EDUCATION (B.ED COLLEGE) , (Room No. 9), SECTOR 20C","SECTOR 20C # 2381 to 2625, GIANDEEP MODEL HIGH SCHOOL SEC.20C",MUKESH KUMAR  GOVT.PRESS SECTOR 18,chandigarh_pdfs/w0010133.pdf
134,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Staff Room), SECTOR 20D","GURUDWARA SECTOR 20C, SCO20C 34 to 76, SECTOR 20C # 2626 to 2930, MOTER GARAGE SECTOR 20C",CHARANJIT SINGH  GMSSS Sec-56,chandigarh_pdfs/w0010134.pdf
135,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Music Room), SECTOR 20D","GOVT MODEL HIGH SCHOOL SECTOR 20A, B ED COLLEGE SECTOR 20D, TUBEL BED COLLEGE SECTOR 20D, SCO 1 to 33 SECTOR 20, PRACHIN BHAGWAN BALMIKI ASHARAM SEC.20, SECTOR 20C # 2931 to 3000, SECTOR 20D # 3001 to 3151, SCF SECTOR 20D",NARESH KUMAR  PTG.& STY. DEPTT. SECTOR 18,chandigarh_pdfs/w0010135.pdf
136,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Nursery Room), SECTOR 21-A","SECTOR 21A # 1 to 250, KRECH SECTOR 21, GOVT MODEL SENIOR SECONDARY SCHOOL SEC.21,",JAGDEEP SINGH  PTG.& STY.DEPTT. SECTOR 18,chandigarh_pdfs/w0010136.pdf
137,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 11 D), SECTOR 21-A","SECTOR 21A # 251 to 353, SECTOR 21B # 1001 to 1200, NIRNKARI BHAWAN SECTOR 21B,",DEEPAK CHAUHAN  GOVT. MODEL SR.SEC.SCHOOL KARSAN,chandigarh_pdfs/w0010137.pdf
138,Form 6  Form 7  Form 8  Form 8A,"DEV SAMAJ SENIOR SECONDARY SCHOOL , (Room No. 11), SECTOR 21-D","SECTOR 21B # 1201 to 1296, SECTOR 21C # 2001 to 2120, GURUDWARA SECTOR 21C, DEV SAMAJ SCHOOL SECOT 21C, PRACHIN SHIV MANDIR SECTOR 21C, APRVASI BHARTIYA SECTOR 21C, SCF SECTOR 21D, MANAV MANGAL HIGH SCHOOL SEC.21, NAMDEV BHAWAN SECTOR 21","RAJESH KUMAR  PEC, SECTOR 12",chandigarh_pdfs/w0010138.pdf
139,Form 6  Form 7  Form 8  Form 8A,"DEV SAMAJ SENIOR SECONDARY SCHOOL , (Room No. 13), SECTOR 21-D","SECTOR 21C # 2121 to 2283, SECTOR 21D # 3001 to 3100,","RAVINDER KAUR  GMHS SECTOR 37-C, CHD",chandigarh_pdfs/w0010139.pdf
140,Form 6  Form 7  Form 8  Form 8A,"DEV SAMAJ SENIOR SECONDARY SCHOOL , (Room No. 22), SECTOR 21-D","SECTOR 21D # 3101 to 3356, SANIK REST HOUSE SECTOR 21D, KAMUNITY CENTRE SECTOR 21",GURMEET KAUR  GOVT.SR.SEC. SCHOOL KHUDA LAHORA,chandigarh_pdfs/w0010140.pdf
141,Form 6  Form 7  Form 8  Form 8A,"M.D.A.V.SENIOR SECONDARY SCHOOL , (Committee Room), SECTOR 22-A","SECTOR 22A # 1 to 550, MDAV SCHOOL SEC.22A",SUKHWINDER SINGH  HEADMASTER GHS VILLAGE DARIA,chandigarh_pdfs/w0010141.pdf
142,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 10), SECTOR 22-A","SECTOR 22A # 551 to 1000, GOVT MODEL SR SEC SCHOL SEC.22A, ARYA SAMAJ MANDIR SEC.22, GOVT CRECHE SEC.22, SCO SEC.22A, SECTOR 22B # 1147 to 1180",JAGJIT SINGH  GMSS SECTOR 22-A,chandigarh_pdfs/w0010142.pdf
143,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL SENIOR SECONDARY SCHOOL , (Room No. 2 B ), SECTOR 22-A","SECTOR 22B # 1201 to 1450, SANATAN DHARAM MANDIR SEC.22B",KHUMANAND  MCC,chandigarh_pdfs/w0010143.pdf
144,Form 6  Form 7  Form 8  Form 8A,"CREACH NEAR GOVT. MODEL SR.SECONDARY SCHOOL , (Creche Hall), SECTOR 22-A","SECTOR 22B # SECTOR 22B # 1451-1825, COMMUNITY CENTRE SEC22",DALIP SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010144.pdf
145,Form 6  Form 7  Form 8  Form 8A,"COMMUNITY CENTRE , (Hall Room), SECTOR 22-C","SECTOR 22B # 1826 to 1940, SECTOR 22C # 2001 to 2200, SCF SECTOR 22",KRISHAN MOHAN  HEADMASTER GMS BURAIL,chandigarh_pdfs/w0010145.pdf
146,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , ( Room No.10 A), SECTOR 22-C",SECTOR 22C # 2201 to 2500,"ASHOK KUMAR  EXECUTIVE ENGINEER, M.C.P.H. DIV NO 4 SECTOR 17",chandigarh_pdfs/w0010146.pdf
